date,time,favorites,id,isRetweet,retweets,text
11/19/202,0  12:56:01 AM,249940,1.32907E+18,FALSE,52807,"The Georgia recount is a joke and is being done UNDER PROTEST. Even though thousands of fraudulent votes have been found, the real number is in matching signatures. Governor must open up the unconstitutional Consent Decree and call in the Legislature!"
11/19/202,0  12:40:49 AM,122164,1.32907E+18,FALSE,29433,They didn’t even allow Republican Observers into the building to watch. A terrible insult to our Constitution! https://t.co/Q8RgaTs6ev
11/19/202,0  12:36:17 AM,141951,1.32906E+18,FALSE,33060,"This was a rigged election. No Republican Poll Watchers allowed, voting machine “glitches” all over the place (meaning they got caught cheating!), voting after election ended, and so much more! https://t.co/YDh7A7wxLW"
11/19/202,0  12:19:42 AM,139281,1.32906E+18,FALSE,37876,"Wrong! At first they voted against because there were far more VOTES than PEOPLE (Sad!). Then they were threatened, screamed at and viciously harassed, and were FORCED to change their vote, but then REFUSED, as American patriots, to sign the documents. 71% MESS. Don’t Harass! https://t.co/n5frpesHfD"
11/18/202,0  11:56:38 PM,246973,1.32905E+18,FALSE,54880,...AND I WON THE ELECTION. VOTER FRAUD ALL OVER THE COUNTRY! https://t.co/9coP3R44UQ
11/18/202,0  11:40:55 PM,160754,1.32905E+18,FALSE,30576,Trump votes. https://t.co/JYEMPg1MJc
11/18/202,0  11:40:23 PM,0,1.32905E+18,TRUE,19904,"RT @Claire_FOX5: #BREAKING:  @GaSecofState's office confirms Floyd County has found 2,600 ballots during audit.  Says Sec. Raffensperger wa…"
11/18/202,0  1:52:38 PM,141230,1.3289E+18,FALSE,30442,"Wow! Governor Kemp will hopefully see the light before it is too late. Must finally take charge! Two GREAT Senators, who do so much for Georgia and truly love the USA, are in a must win battle with two incompetents who don’t have a clue! https://t.co/j10ZRZpYjK"
11/18/202,0  12:58:17 PM,192241,1.32889E+18,FALSE,44418,"Well, it’s really quite simple. You just can’t have more votes than people! https://t.co/kVtop3WsLp"
11/18/202,0  12:55:24 PM,175131,1.32889E+18,FALSE,38306,"More votes than people, and that is the least of it!!! https://t.co/mSO4Ufwn2g"
11/18/202,0  12:52:05 PM,146600,1.32889E+18,FALSE,31373,"Flip Michigan back to TRUMP. Detroit, not surprisingly, has tremendous problems! https://t.co/RHhuoSMICg"
11/18/202,0  12:48:02 PM,0,1.32888E+18,TRUE,25999,"RT @kayleighmcenany: After presenting 234 pages of sworn affidavits raising allegations of fraud in Wayne County, Michigan voting, the Wayn…"
11/18/202,0  12:44:36 PM,512020,1.32888E+18,FALSE,82464,Wow! Michigan just refused to certify the election results! Having courage is a beautiful thing. The USA stands proud!
